댓글,비방,차별,성적 수치심 유발,저주/협박,악성댓글
2~30대 할짓없냨ㅋㅋㅋ 이럴시간에 일이나해라...군대 다녀온거 티네지 말구..ㅈ2ㄴ찌질하네,1,1,0,0,1
확자빠뜨리고 결혼해,0,0,1,0,1
미안하다. 주인공이 죽는 거라 그때도 이번에도 못 보것다.. ㅋ,0,0,0,0,0
지배인이 화를낸다는거에서부터 다르댘ㅋㅋㅋㅋㅋ;;;;;핑계봐 ..솔직히 효리네민박 보고 구상한건맞잖아요 이사람아 ....,0,0,0,0,0
이 언니는 사석에서 보면 더 진국이다이하늬 화이팅!,0,0,0,0,0
방송나와서 남편 흉보고 sns에 관종짓하고 시부모흉보고 자기는 정상인건가 다른 부모도 모두 똑같은데 유별난듯 자기 사생활 다 자기가 까발리고 피해자인척하는거 꼴보기싫다,1,0,0,0,1
신메뉴도 각본에 이미 있는거잖아요... 그냥 처음부터 메뉴 쫙~~~ 깔아놓고 하면 안되나요?,0,0,0,0,0
악플달리니까 기사바꿔치기하네 조작 로리충,1,0,0,0,1
오늘의 한 줄 평 여. 적. 여.,0,1,0,0,1
쿵쾅이들만 욕하지 뭐~정작 혜리보다 연기 훨 못하는 혜리남친은 무한찬양하면서~ㅋㅋ,1,1,0,0,1
무조건 개봉 당일 보러갑니다~,0,0,0,0,0
이경규 진짜 존경한다,0,0,0,0,0
빨리 회복해서 자원입대 바랍니다. 군복무 기간도 단축됩니다,0,0,0,0,0
성시경 그만 보고싶다 진심,0,0,0,0,0
으 저러케 뚱뚱한 여자랑 왜 ?,1,1,0,0,1
연기 못하는 대배우...신성일 같음;;,1,0,0,0,1
병신이네 동남아시아에 중국자본이 들어가 초토화된걸 모르고 자본받았나 가깝게는쌍용 먹튀.... 제주도도 중국자본받아 개발혀려다 개판된거 심심치안게 볼수있는데 어찌 저런머리로 기업을운영하는지 ㅡㅡ,1,0,0,0,1
그정도야... 머 다 오픈하고 떳떳히들 살잖아?오양도 그렇고.. 기운내삼~♥,0,0,0,0,0
ㅋㅋㅋ다들 좌표라도 찍으셨나요? 표절은 작곡자가 제일 잘 아는법. 나같음 표절이면 모 팔려서 발표도 안한다. 코드진행이나 방법이 비슷하지만 엄격하게 표절은 아닌거 같아. 그런 코드에 멜로디는 워낙흔하니까!,0,0,0,0,0
헐그럼가족들 보는것도 최근이아닐수 잇다는얘기넹ᆢ 아 가족들 슬픔은 이루말할수엏ㅂㅅ을듯,0,0,0,0,0
쟤는 뭘안다고 저렇게 나대고다니지?? 먹는거극혐,1,0,0,0,1
우리 엑소오빠들만 안다치면 되!!!,0,0,0,0,0
드라마를 나쁜녀석들이란 제목에 너무 치중시키다보니 마이 과하다,0,0,0,0,0
여적여를 시행중이신 여(아마 메갈이나 신흥세력 워 머시기 였는데),1,1,0,0,1
말처럼 쉬운줄 아나 진짜 여자들은 저런 말빨만 좋은 남자 조심해야한다 사탕발림,0,1,0,0,1
힘들게 살던데...가족들 좀 생각해,0,0,0,0,0
솔직히 일본 노래랑 일본고교 댄스팀에 고마워해야지 ;;,0,0,0,0,0
자기성격대로 각자사는거지 죄만안지으면 되는거 아닌가. 이하늘 멋있다 솔까 완전 멋짐 짱. 콘서트에서 한물간 가수의 삶이란 이건가하셨다지만 아주오래동안 반짝였다는 사실을 잊지않으셨으면! 꼭 행복하시길 ㅎ,0,0,0,0,0
또 남자배우 위주 영화네요..,0,0,0,0,0
박명수 왜 욕 먹지? 수준 낮은 김구라 보다 훨씬 나은데,1,0,0,0,1
진심 무도 피디와 작가들은 나영석사단 보고 배워라 ㅈ노잼 쓰레기예능같으니,1,0,0,0,1
좋은곳에서 행복하게 잘 지내고 계시죠? 보고싶습니다 구탱이형,0,0,0,0,0
수호해라 꽃길만 걷자,0,0,0,0,0
정용화는 대학원에 돈주고 들어갔지만 문준용인 일인하거 세금 털어간 도적,1,0,0,0,1
"'그 예능'이었으면 김치전 하다가 국뽕 홍보하고 중간에 감동 넣어서 멤버들 눈물 흘리며 유××는 ""이렇게... 돈 버시는 분들은 대단한거야...""라는 소리나 하며 정색빨게 만듬. 백상예술 받은 프로그램만 10개 나pd >>>> 무××전 하나 만든 적폐 김pd",1,0,0,0,1
아직 안갔다왔나? 근데 바다를 좋아하면 바다로가면 안되지...,0,0,0,0,0
오랜만에 선예 볼 생각하니 벌써부터 힐링 됐다^^,0,0,0,0,0
나혼산팀과 우리에겐 귀한84닷,0,0,0,0,0
매년 연말시상식에 서프라이즈팀은 왜 안부르는지..서프라이즈 800회 축하합니다..^^,0,0,0,0,0
돼지가 꼬래재주가있는갑네 믿어지지않는다,1,0,0,0,1
조세호짱임. 그래도 노찌롱 너무 보고싶음.,0,0,0,0,0
슈지 귀여움♡ 예쁜얼굴,0,0,0,0,0
영턱스는 갠적으로 그닥.. 싼티가 너무 나서 그때도 별로 안좋아했음... 딱 이주노 스타일..,1,0,0,0,1
"드라마 방영 중에 조공 인증, 밥차 인증, 드라마 본방사수 해주세요~ 맨날 인스타 업뎃하면 진짜 드라마에 집중 안됨",0,0,0,0,0
시골 지역신문에 넌게 뭐대단하다고ㅋㅋ손님들 왜 잘안오는줄아냐?우리나라로 치면 동남아 파키스탄애들이차린 식당인데 니들이면 가고싶겠냐?ㅋㅋ결국 분량 뽑으려면 출연료좀 쥐어주겠지현지 엑스트라들 섭외좀하고..,0,1,0,0,1
종북몰이하는 댓글은 없겠지? 압잡이 시키들,0,1,0,0,1
라스트베가스랑 비슷할거 같은 예감이 불길하군,0,0,0,0,0
왜 상상암이겠냐? 아버지가 살고 싶은 맘이 없고 차라리 병으로 죽고 싶은 거잖아. 이걸로 웃는 애들은 늬들 부모가 치매걸려도 웃어라.,0,0,0,1,1
"라멘에 마늘 넣는거.. 하는 라멘집 많음. 홍대에도 있었고, 연남에도, 송도에도 있고",0,0,0,0,0
이미숙 너무 이쁘더라.,0,0,0,0,0
이건 일드가 진짜 명작이다.,0,0,0,0,0
선미축하해요. 뮤비가 너무 좋아요.,0,0,0,0,0
영국 고든램지의 헬키친처럼 한국도 그런게 있으면 좋다고 생각했는데 백종원씨가 그걸 맡아준다니 감사하네요!!!,0,0,0,0,0
아무리 그래도 무도시즌제 대환영입니다,0,0,0,0,0
제목만보면 므흣하다능.......,0,0,0,0,0
사실만 할땐 좋았는데.. 이젠 중복이 판치고 사실이건 아니건 막 하니 원...,0,0,0,0,0
결혼식 올리고 후회하지 말고 파혼하는 게 나을 수도 있음,0,0,0,0,0
우효광이가 비정상적으로 친절하다 여기서 맘충들은 남편에서 얻지 못하는 희열을 우효광이에게서 보상받으려는 심리. 한번씩 보면 추자현 너무 막대함 남편을,1,1,0,0,1
이시언 스타일 촌스러 살을빼야되나 목이짧아서근가,1,0,0,0,1
다비치보단 아비치가 더 좋음,0,0,0,0,0
내가죽였어.ㅡ.ㅡ 이 대사를 할필요가 없었을듯..,0,0,0,0,0
새롬씨 힘내요 화이팅♡♡♡♡,0,0,0,0,0
수지랑 비교하고 g 랄이야 주제 파악 못 하고,1,0,0,0,1
사인에 대해서는 어떤 말이 없네.자살이면 어떻게 죽었다는 설명도 있을텐데 사인도 비공개구나,0,0,0,0,0
